Minor Nm,Minor Dept,Minor Div,Minor Clg,Academic Yr,Ucb Level1 Ethnic Rollup Desc,Person Gender Desc,Entry Status Desc
German UG,German,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Chinese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
French UG,French,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
South & SE Asian Studies UG,South & SE Asian Studies,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Forestry & Nat Resources UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,White/Other,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,Underrepresented Minority,Female,New Freshmen
Native American Studies UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,International,Female,New Freshmen
Peace & Conflict Studies UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,White/Other,Female,New Freshmen
Cal Teach Sci & Math Edu UG,Education,Grad School of Education,Grad School of Education,2015-16,Asian/Pacific Islander,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2015-16,White/Other,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,White/Other,Male,New Freshmen
Linguistics UG,Linguistics,L&S Social Sciences Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Nuclear Engineering UG,Nuclear Engineering,Clg of Engineering,Clg of Engineering,2015-16,International,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,Asian/Pacific Islander,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,Asian/Pacific Islander,Male,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2015-16,Asian/Pacific Islander,Male,New Freshmen
Geospatl Info Sci & Tech UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,Asian/Pacific Islander,Male,New Freshmen
Geospatl Info Sci & Tech UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,White/Other,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,White/Other,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2015-16,Underrepresented Minority,Male,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Disability Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2015-16,Underrepresented Minority,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Underrepresented Minority,Male,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2015-16,Underrepresented Minority,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,White/Other,Male,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,Underrepresented Minority,Male,New Freshmen
French Civilization UG,French,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Japanese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,White/Other,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,White/Other,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Disability Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2015-16,Asian/Pacific Islander,Male,New Freshmen
Industrial Eng & Op Rsch UG,Industrial Eng & Ops Research,Clg of Engineering,Clg of Engineering,2015-16,Asian/Pacific Islander,Male,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,Asian/Pacific Islander,Female,New Freshmen
Gender & Women's Studies UG,Gender & Womens Studies,L&S Social Sciences Division,Clg of Letters & Science,2015-16,International,Female,New Freshmen
Elec Eng & Computer Sci UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2015-16,White/Other,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,White/Other,Female,New Freshmen
Conservation & Resrce St UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,Underrepresented Minority,Male,New Freshmen
Energy Engineering UG,Engineering Science,Clg of Engineering,Clg of Engineering,2015-16,Asian/Pacific Islander,Male,New Freshmen
Chinese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,International,Female,New Freshmen
Industrial Eng & Op Rsch UG,Industrial Eng & Ops Research,Clg of Engineering,Clg of Engineering,2015-16,International,Male,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,International,Female,New Freshmen
Dance & Performance Stds UG,Theater Dance & Perf Stds,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
History UG,History,L&S Social Sciences Division,Clg of Letters & Science,2015-16,International,Male,New Freshmen
Geospatl Info Sci & Tech UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,International,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,International,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Conservation & Resrce St UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,Asian/Pacific Islander,Female,New Freshmen
Geospatl Info Sci & Tech UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,Asian/Pacific Islander,Female,New Freshmen
Asian Am/Asn Diaspora St UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Chinese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,White/Other,Female,New Freshmen
Arabic UG,Near Eastern Studies,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Male,New Freshmen
Human Rights Interdisc UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2015-16,Underrepresented Minority,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2015-16,Asian/Pacific Islander,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,White/Other,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,International,Female,New Freshmen
Japanese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,Underrepresented Minority,Female,New Freshmen
Peace & Conflict Studies UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Underrepresented Minority,Female,New Freshmen
Materials Science & Eng UG,Materials Science & Eng,Clg of Engineering,Clg of Engineering,2015-16,White/Other,Male,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2015-16,Asian/Pacific Islander,Male,New Freshmen
Conservation & Resrce St UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,White/Other,Female,New Freshmen
Forestry & Nat Resources UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,White/Other,Female,New Freshmen
Industrial Eng & Op Rsch UG,Industrial Eng & Ops Research,Clg of Engineering,Clg of Engineering,2015-16,Asian/Pacific Islander,Female,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,White/Other,Male,New Freshmen
Disability Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,Underrepresented Minority,Female,New Freshmen
English UG,English,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Cal Teach Sci & Math Edu UG,Education,Grad School of Education,Grad School of Education,2015-16,Asian/Pacific Islander,Female,New Freshmen
Food Systems UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,Asian/Pacific Islander,Female,New Freshmen
Environ Econ & Policy UG,Ag & Resource Econ & Pol,Clg of Natural Resources,Clg of Natural Resources,2015-16,Asian/Pacific Islander,Male,New Freshmen
Cal Teach Sci & Math Edu UG,Education,Grad School of Education,Grad School of Education,2015-16,Asian/Pacific Islander,Female,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Conservation & Resrce St UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,White/Other,Male,New Freshmen
Geospatl Info Sci & Tech UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,White/Other,Female,New Freshmen
Dance & Performance Stds UG,Theater Dance & Perf Stds,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Environ Econ & Policy UG,Ag & Resource Econ & Pol,Clg of Natural Resources,Clg of Natural Resources,2015-16,White/Other,Female,New Freshmen
English UG,English,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Persian UG,Near Eastern Studies,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Japanese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Linguistics UG,Linguistics,L&S Social Sciences Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,White/Other,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,Asian/Pacific Islander,Female,New Freshmen
Jewish Studies UG,Jewish Studies Program,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Native American Studies UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Male,New Freshmen
Human Rights Interdisc UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Gender & Women's Studies UG,Gender & Womens Studies,L&S Social Sciences Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Chinese Studies UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,Asian/Pacific Islander,Female,New Freshmen
Chinese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Cal Teach Sci & Math Edu UG,Education,Grad School of Education,Grad School of Education,2015-16,White/Other,Female,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Energy Engineering UG,Engineering Science,Clg of Engineering,Clg of Engineering,2015-16,White/Other,Male,New Freshmen
Political Economy UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Underrepresented Minority,Male,New Freshmen
Chinese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Chinese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
French UG,French,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
French UG,French,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Dance & Performance Stds UG,Theater Dance & Perf Stds,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2015-16,International,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,Asian/Pacific Islander,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,White/Other,Female,New Freshmen
South & SE Asian Studies UG,South & SE Asian Studies,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Geography UG,Geography,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Human Rights Interdisc UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Male,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
History UG,History,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
History UG,History,L&S Social Sciences Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,White/Other,Female,New Freshmen
Sustainable Design UG,Landscape Arch & Env Plan,Clg of Environmental Design,Clg of Environmental Design,2015-16,White/Other,Female,New Freshmen
Anthropology UG,Anthropology,L&S Social Sciences Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Toxicology UG,Nutritional Sciences & Tox,Clg of Natural Resources,Clg of Natural Resources,2015-16,Asian/Pacific Islander,Female,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2015-16,Asian/Pacific Islander,Female,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,White/Other,Female,New Freshmen
French UG,French,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Geospatl Info Sci & Tech UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,White/Other,Female,New Freshmen
History UG,History,L&S Social Sciences Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Mechanical Engineering UG,Mechanical Engineering,Clg of Engineering,Clg of Engineering,2015-16,Asian/Pacific Islander,Female,New Freshmen
Conservation & Resrce St UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,Asian/Pacific Islander,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Male,New Freshmen
Energy Engineering UG,Engineering Science,Clg of Engineering,Clg of Engineering,2015-16,White/Other,Male,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,Asian/Pacific Islander,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2015-16,White/Other,Male,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Creative Writing UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Arabic UG,Near Eastern Studies,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Dance & Performance Stds UG,Theater Dance & Perf Stds,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,White/Other,Female,New Freshmen
Russian Literature UG,Slavic Languages & Literatures,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Chemistry UG,Chemistry,Clg of Chemistry,Clg of Chemistry,2015-16,White/Other,Female,New Freshmen
Conservation & Resrce St UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,Underrepresented Minority,Female,New Freshmen
Creative Writing UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2015-16,White/Other,Male,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Creative Writing UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Industrial Eng & Op Rsch UG,Industrial Eng & Ops Research,Clg of Engineering,Clg of Engineering,2015-16,White/Other,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Elec Eng & Computer Sci UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2015-16,White/Other,Male,New Freshmen
History UG,History,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Disability Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2015-16,Underrepresented Minority,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,Underrepresented Minority,Female,New Freshmen
Peace & Conflict Studies UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Creative Writing UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Art UG,Art Practice,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Underrepresented Minority,Female,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2015-16,Asian/Pacific Islander,Male,New Freshmen
Geospatl Info Sci & Tech UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,Asian/Pacific Islander,Male,New Freshmen
Chicano Studies UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Underrepresented Minority,Male,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2015-16,Asian/Pacific Islander,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,Asian/Pacific Islander,Female,New Freshmen
Dance & Performance Stds UG,Theater Dance & Perf Stds,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,Asian/Pacific Islander,Female,New Freshmen
Political Economy UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,White/Other,Male,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2015-16,Asian/Pacific Islander,Male,New Freshmen
Physics UG,Physics,L&S Math & Phys Sciences Div,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Underrepresented Minority,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,Asian/Pacific Islander,Female,New Freshmen
Korean UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Underrepresented Minority,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,White/Other,Female,New Freshmen
Asian Am/Asn Diaspora St UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,Asian/Pacific Islander,Female,New Freshmen
English UG,English,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Underrepresented Minority,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,White/Other,Female,New Freshmen
Human Rights Interdisc UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Creative Writing UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2015-16,White/Other,Male,New Freshmen
South & SE Asian Studies UG,South & SE Asian Studies,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Mathematics UG,Mathematics,L&S Math & Phys Sciences Div,Clg of Letters & Science,2015-16,White/Other,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,Asian/Pacific Islander,Female,New Freshmen
Creative Writing UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Forestry & Nat Resources UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,White/Other,Female,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2015-16,White/Other,Female,New Freshmen
Anthropology UG,Anthropology,L&S Social Sciences Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2015-16,Asian/Pacific Islander,Female,New Freshmen
Sustainable Design UG,Landscape Arch & Env Plan,Clg of Environmental Design,Clg of Environmental Design,2015-16,White/Other,Female,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,Asian/Pacific Islander,Female,New Freshmen
Elec Eng & Computer Sci UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2015-16,Asian/Pacific Islander,Male,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Cal Teach Sci & Math Edu UG,Education,Grad School of Education,Grad School of Education,2015-16,Asian/Pacific Islander,Female,New Freshmen
Forestry & Nat Resources UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,White/Other,Male,New Freshmen
Toxicology UG,Nutritional Sciences & Tox,Clg of Natural Resources,Clg of Natural Resources,2015-16,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,Underrepresented Minority,Female,New Freshmen
Asian Am/Asn Diaspora St UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Mathematics UG,Mathematics,L&S Math & Phys Sciences Div,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,White/Other,Male,New Freshmen
Korean UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
History UG,History,L&S Social Sciences Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Creative Writing UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2015-16,International,Female,New Freshmen
History UG,History,L&S Social Sciences Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,Underrepresented Minority,Female,New Freshmen
Geospatl Info Sci & Tech UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,Asian/Pacific Islander,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,White/Other,Female,New Freshmen
Geospatl Info Sci & Tech UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,Asian/Pacific Islander,Male,New Freshmen
